radius,epsilon,mae_m,medae_m,rmse_m,roof_texture_transfer_r_tt,edge_error_px,degraded_correct_pct,decision
2,0.0001,3.61,2.77,4.91,0.8598,152.64,0.00,ACCEPTED (Boundary Sharpened + Error Reduced)
2,0.001,3.61,2.77,4.91,0.8481,139.98,0.00,ACCEPTED (Boundary Sharpened + Error Reduced)
2,0.01,3.61,2.77,4.91,0.8379,127.75,0.00,ACCEPTED (Boundary Sharpened + Error Reduced)
2,0.1,3.61,2.77,4.91,0.8335,128.60,0.00,ACCEPTED (Boundary Sharpened + Error Reduced)
4,0.0001,3.60,2.77,4.91,0.8018,107.47,0.00,ACCEPTED (Boundary Sharpened + Error Reduced)
4,0.001,3.60,2.77,4.90,0.7853,96.26,0.00,ACCEPTED (Boundary Sharpened + Error Reduced)
4,0.01,3.59,2.77,4.90,0.7675,92.58,0.00,ACCEPTED (Boundary Sharpened + Error Reduced)
4,0.1,3.59,2.77,4.90,0.7614,102.93,0.00,ACCEPTED (Boundary Sharpened + Error Reduced)
8,0.0001,3.59,2.76,4.90,0.8265,71.09,0.00,ACCEPTED (Boundary Sharpened + Error Reduced)
8,0.001,3.58,2.76,4.89,0.7965,54.65,0.00,ACCEPTED (Boundary Sharpened + Error Reduced)
8,0.01,3.57,2.73,4.88,0.7526,63.53,0.00,ACCEPTED (Boundary Sharpened + Error Reduced)
8,0.1,3.56,2.73,4.88,0.7392,83.85,0.00,ACCEPTED (Boundary Sharpened + Error Reduced)
16,0.0001,3.57,2.73,4.89,1.1366,58.55,0.00,REJECTED (High Texture Imprinting R_TT > 1.10)
16,0.001,3.55,2.71,4.88,1.0710,43.39,0.06,ACCEPTED (Boundary Sharpened + Error Reduced)
16,0.01,3.52,2.64,4.85,0.9250,28.06,0.06,ACCEPTED (Boundary Sharpened + Error Reduced)
16,0.1,3.50,2.64,4.84,0.8076,78.46,0.06,ACCEPTED (Boundary Sharpened + Error Reduced)
