tile_id,building_id,category,gt_height_m,base_shadow_m,base_height_m,base_error_m,m4_shadow_m,m4_height_m,m4_error_m,m4_status,m4_confidence,m4_term_reason,failure_mode
2_10,1,Large,15.22,30.00,26.82,11.61,17.45,15.60,0.39,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,2,Large,14.27,30.00,26.82,12.55,6.80,6.08,8.19,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_10,3,Small,2.67,24.20,21.64,18.97,7.75,6.93,4.26,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,4,Large,14.66,30.00,26.82,12.16,10.55,9.43,5.23,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_10,5,Small,2.27,30.00,26.82,24.55,10.55,9.43,7.16,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_10,6,Large,12.33,27.90,24.95,12.61,9.75,8.72,3.62,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,7,Small,2.27,15.60,13.95,11.68,1.35,1.21,1.07,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,8,Small,1.93,30.00,26.82,24.89,1.45,1.30,0.64,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,9,Large,15.63,30.00,26.82,11.20,24.40,21.82,6.19,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_10,10,Medium,10.96,30.00,26.82,15.86,9.75,8.72,2.24,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,11,Small,2.51,30.00,26.82,24.31,3.40,3.04,0.53,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,12,Small,3.58,30.00,26.82,23.25,6.30,5.63,2.06,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,13,Large,16.15,30.00,26.82,10.68,18.65,16.68,0.53,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,14,Medium,4.40,27.40,24.50,20.10,6.15,5.50,1.10,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,15,Medium,11.07,30.00,26.82,15.75,6.05,5.41,5.66,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_SHORT_SHADOW
2_10,16,Small,2.30,11.65,10.42,8.11,4.30,3.84,1.54,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,17,Medium,11.08,30.00,26.82,15.74,7.50,6.71,4.37,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,18,Small,2.27,15.20,13.59,11.32,4.85,4.34,2.07,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,19,Medium,9.26,25.55,22.84,13.58,7.95,7.11,2.15,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,20,Small,2.46,13.45,12.03,9.57,4.55,4.07,1.61,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,21,Small,2.72,10.55,9.43,6.71,2.35,2.10,0.62,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,22,Small,2.52,30.00,26.82,24.30,7.70,6.88,4.36,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,23,Medium,9.18,23.25,20.79,11.61,5.45,4.87,4.31,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,24,Small,2.58,17.10,15.29,12.71,6.45,5.77,3.19,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,25,Small,2.40,12.75,11.40,9.00,3.20,2.86,0.46,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,26,Small,2.53,30.00,26.82,24.29,2.00,1.79,0.74,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,27,Small,2.36,9.85,8.81,6.44,5.50,4.92,2.55,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,28,Small,2.47,10.35,9.25,6.79,1.45,1.30,1.17,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,29,Small,2.51,14.55,13.01,10.50,8.20,7.33,4.83,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,30,Small,2.65,15.00,13.41,10.76,9.15,8.18,5.53,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_10,31,Medium,11.05,30.00,26.82,15.78,11.95,10.68,0.36,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,32,Medium,9.23,30.00,26.82,17.59,12.50,11.18,1.94,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,33,Small,2.40,10.45,9.34,6.94,2.85,2.55,0.15,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,34,Small,2.32,15.95,14.26,11.94,5.15,4.60,2.29,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,35,Small,2.34,10.30,9.21,6.87,3.10,2.77,0.43,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,36,Small,1.24,24.05,21.50,20.26,0.70,0.63,0.62,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,37,Small,2.59,24.35,21.77,19.18,7.70,6.88,4.30,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,38,Medium,9.18,18.95,16.94,7.77,15.20,13.59,4.41,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,39,Small,2.95,11.50,10.28,7.33,3.40,3.04,0.09,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,40,Small,2.35,16.50,14.75,12.40,5.55,4.96,2.61,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,41,Small,2.36,9.75,8.72,6.36,1.70,1.52,0.84,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,42,Small,2.04,5.85,5.23,3.19,4.15,3.71,1.67,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,43,Small,2.42,30.00,26.82,24.40,3.30,2.95,0.53,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,44,Medium,9.16,28.50,25.48,16.33,8.20,7.33,1.82,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,45,Small,2.42,19.40,17.35,14.92,6.60,5.90,3.48,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,46,Small,2.49,19.50,17.44,14.95,8.15,7.29,4.80,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,47,Small,2.48,30.00,26.82,24.34,1.50,1.34,1.14,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,48,Medium,9.11,30.00,26.82,17.71,11.15,9.97,0.86,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,49,Small,2.58,27.95,24.99,22.41,4.55,4.07,1.49,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,50,Small,2.47,30.00,26.82,24.36,1.35,1.21,1.26,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,51,Small,2.36,24.90,22.26,19.90,4.95,4.43,2.06,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,52,Small,1.13,8.10,7.24,6.12,4.95,4.43,3.30,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,53,Medium,9.10,29.55,26.42,17.32,7.00,6.26,2.84,VALID,0.99,LOCAL_GRADIENT_STEP,NONE
2_10,54,Small,2.57,18.40,16.45,13.88,8.40,7.51,4.94,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,55,Small,3.05,8.00,7.15,4.10,1.75,1.56,1.49,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,56,Small,2.40,14.85,13.28,10.87,2.45,2.19,0.21,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,57,Small,2.61,30.00,26.82,24.21,2.40,2.15,0.47,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,58,Small,2.49,11.80,10.55,8.06,7.25,6.48,3.99,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,59,Small,2.40,21.95,19.63,17.23,2.90,2.59,0.20,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,60,Medium,9.38,15.70,14.04,4.66,5.05,4.52,4.86,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,61,Small,2.49,30.00,26.82,24.34,6.15,5.50,3.01,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,62,Medium,9.03,30.00,26.82,17.79,15.20,13.59,4.56,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,63,Small,1.15,3.45,3.08,1.94,2.45,2.19,1.04,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,64,Small,2.33,18.40,16.45,14.13,1.60,1.43,0.89,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,65,Small,2.39,8.25,7.38,4.99,3.90,3.49,1.10,VALID,0.99,LOCAL_GRADIENT_STEP,NONE
2_10,66,Large,12.58,30.00,26.82,14.25,11.40,10.19,2.38,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,67,Small,2.24,19.85,17.75,15.50,4.75,4.25,2.00,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,68,Small,3.26,0.55,0.49,2.77,0.20,N/A,N/A,REJECTED,0.00,LOCAL_GRADIENT_STEP,NO_VALID_SHADOW
2_10,69,Large,15.37,30.00,26.82,11.45,8.45,7.56,7.82,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_10,70,Small,2.46,7.40,6.62,4.16,6.45,5.77,3.31,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,71,Large,16.09,25.85,23.11,7.02,10.55,9.43,6.66,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_SHORT_SHADOW
2_10,72,Small,2.41,9.95,8.90,6.49,6.65,5.95,3.54,VALID,0.98,LOCAL_GRADIENT_STEP,NONE
2_10,73,Small,2.28,14.00,12.52,10.24,2.10,1.88,0.40,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,74,Small,2.41,30.00,26.82,24.42,10.80,9.66,7.25,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_10,75,Medium,11.08,30.00,26.82,15.75,7.40,6.62,4.46,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,76,Small,2.40,9.20,8.23,5.82,7.50,6.71,4.30,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,77,Medium,6.30,30.00,26.82,20.52,3.10,2.77,3.53,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
